slug	name	category	url
mountain-hauler-4000-pack	Mountain Hauler 4000 Pack	pack	https://www.sitkagear.com/products/mountain-hauler-4000-pack
mountain-hauler-6200	Mountain Hauler 6200	pack	https://www.sitkagear.com/products/mountain-hauler-6200
mountain-optics-harness	Mountain Optics Harness	accessory	https://www.sitkagear.com/products/mountain-optics-harness
neck-gaiter	Neck Gaiter	gaiter	https://www.sitkagear.com/products/neck-gaiter
no-offseason-lo-pro-strapback	No Offseason Lo Pro Strapback	hat	https://www.sitkagear.com/products/no-offseason-lo-pro-strapback
optifade-5-panel-camper	Optifade 5-Panel Camper	hat	https://www.sitkagear.com/products/optifade-5-panel-camper
optifade-90s-script-hi-pro-trucker	Optifade 90s Script Hi Pro Trucker	hat	https://www.sitkagear.com/products/optifade-90s-script-hi-pro-trucker
optifade-crew-sock	Optifade Crew Sock	accessory	https://www.sitkagear.com/products/optifade-crew-sock
peak-design-x-sitka-studio-slide-lite-camera-strap	Peak Design x SITKA Studio Slide Lite Camera Strap	accessory	https://www.sitkagear.com/products/peak-design-x-sitka-studio-slide-lite-camera-strap
radiant-graphic-ls-crew	Radiant Graphic LS Crew	shirt	https://www.sitkagear.com/products/radiant-graphic-ls-crew
radiant-graphic-sun-hoodie	Radiant Graphic Sun Hoodie	hoody	https://www.sitkagear.com/products/radiant-graphic-sun-hoodie
radiant-hoodie	Radiant Hoodie	hoody	https://www.sitkagear.com/products/radiant-hoodie
radiant-ls-crew	Radiant LS Crew	shirt	https://www.sitkagear.com/products/radiant-ls-crew
radiant-sun-hoodie	Radiant Sun Hoodie	hoody	https://www.sitkagear.com/products/radiant-sun-hoodie
ranger	Ranger	boot	https://www.sitkagear.com/products/ranger
reel-tee	Reel Tee	shirt	https://www.sitkagear.com/products/reel-tee
ridgeland-vest	Ridgeland Vest	vest	https://www.sitkagear.com/products/ridgeland-vest
ridgeland-ws-hooded-jacket	Ridgeland WS Hooded Jacket	jacket	https://www.sitkagear.com/products/ridgeland-ws-hooded-jacket
ridgeland-ws-hooded-jacket-2024	Ridgeland WS Hooded Jacket (2024)	jacket	https://www.sitkagear.com/products/ridgeland-ws-hooded-jacket-2024
ripstop-vp-icon-mid-pro-trucker	Ripstop VP Icon Mid Pro Trucker	hat	https://www.sitkagear.com/products/ripstop-vp-icon-mid-pro-trucker
riptide-pant	Riptide Pant	pant	https://www.sitkagear.com/products/riptide-pant
riptide-short-10	Riptide Short 10"	pant	https://www.sitkagear.com/products/riptide-short-10
riptide-short-8	Riptide Short 8"	pant	https://www.sitkagear.com/products/riptide-short-8
riser-active-short-8-inch	Riser Active Short 8"	pant	https://www.sitkagear.com/products/riser-active-short-8-inch
rossby-ls	Rossby LS	shirt	https://www.sitkagear.com/products/rossby-ls
rossby-ss	Rossby SS	shirt	https://www.sitkagear.com/products/rossby-ss
rover-down-jacket	Rover Down Jacket	jacket	https://www.sitkagear.com/products/rover-down-jacket
rover-gtx	Rover GTX	boot	https://www.sitkagear.com/products/rover-gtx
rover-gtx-lth	Rover GTX LTH	boot	https://www.sitkagear.com/products/rover-gtx-lth
rubber-patch-hi-pro-trucker	Rubber Patch Hi Pro Trucker	hat	https://www.sitkagear.com/products/rubber-patch-hi-pro-trucker
seize-icon-mid-pro-trucker	Seize Icon Mid Pro Trucker	hat	https://www.sitkagear.com/products/seize-icon-mid-pro-trucker
seize-tee	Seize Tee	shirt	https://www.sitkagear.com/products/seize-tee
sitka-dog-collar	Sitka Dog Collar	accessory	https://www.sitkagear.com/products/sitka-dog-collar
sitka-dog-leash	Sitka Dog Leash	accessory	https://www.sitkagear.com/products/sitka-dog-leash
sitka-knee-pad	Sitka Knee Pad	accessory	https://www.sitkagear.com/products/sitka-knee-pad
sitka-sandal	Sitka Sandal	boot	https://www.sitkagear.com/products/sitka-sandal
sitka-trucker	Sitka Trucker	hat	https://www.sitkagear.com/products/sitka-trucker
sling-choke	Sling Choke	pack	https://www.sitkagear.com/products/sling-choke
snowcrest-full-zip-hooded-fleece	Snowcrest Full-Zip Hooded Fleece	hoody	https://www.sitkagear.com/products/snowcrest-full-zip-hooded-fleece
snowcrest-half-zip-fleece-pullover	Snowcrest Half-Zip Fleece Pullover	midlayer	https://www.sitkagear.com/products/snowcrest-half-zip-fleece-pullover
snowcrest-ls-shirt	Snowcrest LS Shirt	shirt	https://www.sitkagear.com/products/snowcrest-ls-shirt
species-pocket-tee	Species Pocket Tee	shirt	https://www.sitkagear.com/products/species-pocket-tee
species-pullover-hoodie	Species Pullover Hoodie	hoody	https://www.sitkagear.com/products/species-pullover-hoodie
species-unstructured-snapback	Species Unstructured Snapback	hat	https://www.sitkagear.com/products/species-unstructured-snapback
stormfront-gaiter	Stormfront Gaiter	gaiter	https://www.sitkagear.com/products/stormfront-gaiter
stormfront-jacket	Stormfront Jacket	jacket	https://www.sitkagear.com/products/stormfront-jacket
stormfront-pant	Stormfront Pant	pant	https://www.sitkagear.com/products/stormfront-pant
stratus-bib-2-0	Stratus Bib 2.0	bib	https://www.sitkagear.com/products/stratus-bib-2-0
stratus-jacket-2-0	Stratus Jacket 2.0	jacket	https://www.sitkagear.com/products/stratus-jacket-2-0
stratus-pant	Stratus Pant	pant	https://www.sitkagear.com/products/stratus-pant
stratus-pant-2-0	Stratus Pant 2.0	pant	https://www.sitkagear.com/products/stratus-pant-2-0
stratus-vest-2-0	Stratus Vest 2.0	vest	https://www.sitkagear.com/products/stratus-vest-2-0
stratus-ws-beanie	Stratus WS Beanie	hat	https://www.sitkagear.com/products/stratus-ws-beanie
